brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
,Tenis Masculino Da Polo Varias Cores Exclusivo Lançamento ,78,90,71,01,4.5,(5114)
,Kit Tênis Feminino De Caminhada Academia C/ Relógio E Meia,119,90,74,33,4.6,(766)
,Tênis Sapatênis Masculino Couro Legítimo Casual Calce Fácil,199,90,125,93,4.5,(221)
MOLECA,Tenis Feminino Casual Moleca Lona Sider Flatform Original,75,90,65,27,5.0,(20)
,Tenis Masculino Academia Corrida Caminhada Leve Barato,69,90,59,41,4.6,(1475)
,Tenis Masculino Para Academia #promoção,119,90,57,55,4.6,(837)
,Tenis Sapatenis Masculino Sapato Polo Way Casual Envio Ja ,78,90,7,73,4.6,(1190)
UZZE,Tênis Esportivo Masculino Feminino Academia + Relógio Fone,149,99,98,99,4.4,(751)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,59,24,5,81,4.4,(3714)
PEGADA,Tênis Casual Pegada Masculino,209,90,34,98,,
,Tenis Masculino Esportivo Novo Lançamento ,127,30,114,21,4.7,(85)
,Kit Tênis Masculino Esporte Fino Casual + Carteira Relogio,139,90,118,91,4.3,(134)
VIZZANO,Tênis Branco Casual Feminino Vizzano,139,99,75,59,,
VILI,Kit 2 Pares Tênis Feminino Olimp Caminhada Original Vili,182,59,17,90,4.6,(2042)
,Kit Tenis Masculino Sapatenis Confortavel Carteira + Relogio,139,90,118,91,4.2,(886)
DC SHOES,Tênis Dc Shoes Anvil Blast Sm25 Black/gum,389,90,38,13,,
CONFIANÇA,Tênis Profissional Sapato Antiderrapante Grip Com Com Ca Epi,69,98,64,38,4.6,(18)
,Tenis Masculino Esportivo Barato Para Treino Academia Leve,105,28,10,32,4.6,(92)
KOLOSH,Tênis Casual Feminino Kolosh Flatform C3013 Original,199,90,179,91,4.8,(8)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,159,90,105,53,4.4,(217)
,Tênis Feminino Byllbow Esportivo Academia Antiderrapante,120,20,67,59,4.6,(8850)
,Sapatilha Aquática Sapato Pesca Praia Unissex Flexivel,59,90,5,87,4.6,(270)
PUMA,Puma Carina Street Feminino Adultos,499,90,298,99,4.6,(540)
LETS,Tênis Masculino Para Academia E Caminhada Confortável,77,90,7,64,,
,Tênis Feminino Ortopédico Caminhada Academia + Relógio,119,90,77,93,4.6,(7313)
ÖUS,Tênis Öus Unissex Camurça Fluente Silver Essencial | Branco,399,99,39,11,,
,Tenis Feminino Casual Branco Retrô Clássico Original Force,78,90,7,73,4.5,(1096)
PUMA,Puma Carina BDP Feminino Adultos,493,99,380,37,4.9,(114)
,Tenis Feminino Casual Tendencia Modinha Confortavel,221,75,133,05,,
UNDER ARMOUR,Under Armour Pacer Masculino 3026556,449,99,212,99,4.8,(4)
,Tenis Feminino Academia Olimp Preto Pink Degradê Original,93,10,84,72,4.5,(2451)
,Tênis Feminino Plataforma Casual Bloguerinha,99,90,79,92,4.6,(66)
,Tênis Feminino Vittal Snearkes Blogueira Aura Chunky Confort,284,90,173,78,4.8,(237)
,Tênis Olympikus Masculino Casual Clássico Retro Original,209,90,146,93,4.6,(666)
,Tênis Branco Feminino Casual Plataforma Recortes Fitscarpa,104,90,76,57,4.6,(578)
MIZUNO,Tênis Asics Novablast 5 Roxo/vermelho Masculino Corrida,999,99,96,74,,
LAURUS,Tênis Casual Unissex Sapatênis Confortável Branco Preto,139,30,97,43,4.0,(4)
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
,Tênis Vizzano Feminino Branco Casual Confortavel Dia A Dia,168,74,129,99,4.9,(338)
,Tênis Casual Masculino Cadarço Moda Street Elegante Confortá,131,90,32,98,5.0,(1)
TENEHI,Tênis Feminino Casual Plataforma Sola Alta Conforto Flatform,169,90,127,42,4.5,(113)
VIZZANO,Tenis Casual Feminino Vizzano Branco Plataforma Original,154,90,117,72,4.8,(1422)
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,69,90,6,85,4.5,(5172)
MILADY,Tênis Milady Feminino Branco Casual Confortável,83,97,70,53,4.5,(95)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,66,89,4.5,(2401)
NIKE,Tênis Nike Revolution 7 Feminino,399,99,319,99,4.7,(781)
MODARE,Tenis Feminino Modare Ultraconforto Gel Tech Casual Macio,78,90,7,73,4.8,(478)
PUMA,Puma Caven 2.0 Bdp Masculino Adultos 396330,399,90,325,50,4.8,(560)
,Tênis Feminino Ortopedico Caminhada Academia Espumado Leve,49,90,45,90,4.5,(13)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,72,06,4.2,(229)
,Tênis Feminino Vittal Snearkes Blogueira Aura Chunky Confort,249,90,162,43,4.9,(323)
VIA MARTE,Tênis Feminino Casual Flatform Via Marte Branco Original,186,64,159,59,,
,Tênis Feminino Mocatênis Couro Legítimo - Número 33 Até 42,139,90,97,93,4.8,(860)
FILA,Fila Recovery Masculino Adultos,289,90,28,35,4.7,(1951)
,Sapatênis Tênis Slip-on Masculino Bardone Calce Fácil,139,90,107,91,4.7,(2231)
,Tenis Sapatenis Masculino Sapato Polo Way Casual Envio Ja ,78,90,7,73,4.6,(1190)
VIZZANO,Tênis Feminino Casual Vizzano,141,72,106,29,4.7,(332)
,Sapatilha Aquática Neoprene Hibrida Praia Pesca Ciclismo,109,90,73,90,4.6,(1763)
PEGADA,Sapatênis Pegada Masculino Casual Calce Fácil Couro Nobuck,289,90,260,91,5.0,(4)
,Tênis Masculino Branco Basico Casual Cano Baixo Sola Reta,99,99,64,99,4.0,(1)
OGOCHI,Tênis Casual Masculino Tecido Couro Ogochi,199,80,95,90,4.3,(3)
VILI,Vili VL660 Feminino Adultos,99,90,9,79,4.6,(593)
ASICS,Asics Gel-Rocket 10 Masculino Adultos,549,83,367,78,4.6,(158)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,74,90,24,97,4.5,(6599)
VIZZANO,Tênis Casual Flatform Branco Vizzano Classic Lançamento 1339,159,95,31,99,4.7,(7)
SAYMON,Tênis Masculino Saymon Queen Star Couro Original Branco Pret,119,99,71,99,4.4,(527)
ADIDAS,Tênis Feminino Grand Court Base 2.0 Simp adidas *oferta*,345,30,241,99,4.8,(1435)
OLYMPIKUS,Olympikus Flutua Feminino Adultos,189,99,122,99,4.8,(6517)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,255,,153,,4.6,(3195)
,Kit 2 Sapatenis Masculino Tenis Espumado Caminhada Barato,74,90,59,17,3.9,(58)
,Tênis Branco Lançamento Original Corrida Caminhada,109,90,65,94,4.6,(335)
,Sapatenis Masculino Em Couro Lrc - Café Ref. 07324-3257,189,90,31,65,4.6,(22)
,Tenis Air Couro Eco Leve Preto Branco Force Kit Com Relógio,114,90,11,26,4.8,(6)
